Time (s)	COARSE-SANDSTONE-1's OIP (m3)	COARSE-SANDSTONE-1's WIP (m3)	FAULT's OIP (m3)	FAULT's WIP (m3)	FINE-SANDSTONE-1's OIP (m3)	FINE-SANDSTONE-1's WIP (m3)	GRAINSTONE-1's OIP (m3)	GRAINSTONE-1's WIP (m3)	GRAINSTONE-2's OIP (m3)	GRAINSTONE-2's WIP (m3)	GRAINSTONE-3's OIP (m3)	GRAINSTONE-3's WIP (m3)	GRAINSTONE-4's OIP (m3)	GRAINSTONE-4's WIP (m3)	GRAINSTONE-5's OIP (m3)	GRAINSTONE-5's WIP (m3)	GRAINSTONE-6's OIP (m3)	GRAINSTONE-6's WIP (m3)	GRAINSTONE-7's OIP (m3)	GRAINSTONE-7's WIP (m3)	GRAINSTONE-8's OIP (m3)	GRAINSTONE-8's WIP (m3)	GRAINSTONE-9's OIP (m3)	GRAINSTONE-9's WIP (m3)	MARL-1's OIP (m3)	MARL-1's WIP (m3)	MARL-2's OIP (m3)	MARL-2's WIP (m3)	MARL-3's OIP (m3)	MARL-3's WIP (m3)	MARL-4's OIP (m3)	MARL-4's WIP (m3)	MARL-5's OIP (m3)	MARL-5's WIP (m3)	MARL-6's OIP (m3)	MARL-6's WIP (m3)	MARL-7's OIP (m3)	MARL-7's WIP (m3)	MARL-8's OIP (m3)	MARL-8's WIP (m3)	MEDIUM-SANDSTONE-1's OIP (m3)	MEDIUM-SANDSTONE-1's WIP (m3)	MEDIUM-SANDSTONE-2's OIP (m3)	MEDIUM-SANDSTONE-2's WIP (m3)	MEDIUM-SANDSTONE-3's OIP (m3)	MEDIUM-SANDSTONE-3's WIP (m3)	MUDSTONE-1's OIP (m3)	MUDSTONE-1's WIP (m3)	MUDSTONE-2's OIP (m3)	MUDSTONE-2's WIP (m3)	MUDSTONE-3's OIP (m3)	MUDSTONE-3's WIP (m3)	MUDSTONE-4's OIP (m3)	MUDSTONE-4's WIP (m3)	MUDSTONE-5's OIP (m3)	MUDSTONE-5's WIP (m3)	Model's OIP (m3)	Model's WIP (m3)	PACKSTONE-1's OIP (m3)	PACKSTONE-1's WIP (m3)	TOP-SEAL's OIP (m3)	TOP-SEAL's WIP (m3)	UNKNOWN-1's OIP (m3)	UNKNOWN-1's WIP (m3)	UNKNOWN-2's OIP (m3)	UNKNOWN-2's WIP (m3)	UNKNOWN-3's OIP (m3)	UNKNOWN-3's WIP (m3)	WACKSTONE-1's OIP (m3)	WACKSTONE-1's WIP (m3)	WELL-1's OIP (m3)	WELL-1's WIP (m3)	WELL-2's OIP (m3)	WELL-2's WIP (m3)	
0	7.79705	39.301	7.55205	67.9685	27.5851	119.592	3.75655	37.9829	11.6467	117.761	8.69353	44.3158	9.30199	57.1408	6.98725	82.5929	18.3216	54.9647	9.86926	60.6255	5.81901	58.8367	1.2137	16.1248	107.912	722.182	118.314	791.793	121.477	812.96	149.197	998.474	24.3073	162.672	19.689	131.765	64.1064	429.02	1.85678	12.4261	23.7494	109.924	23.948	110.844	1.91855	8.88004	4.25754	28.4928	1.23176	11.0858	0.544394	8.52885	0.91936	7.43845	0.597745	6.04387	1219.61	8028.5	1.80766	13.6424	0	0.148528	195.617	1309.13	44.6904	299.082	190.94	1277.83	1.28254	10.377	0	8.56027	2.70621	0	
1	7.79705	39.301	7.55205	67.9685	27.5851	119.592	3.75656	37.9829	11.6467	117.761	8.69353	44.3158	9.30199	57.1408	6.98725	82.5929	18.3216	54.9647	9.86926	60.6255	5.81901	58.8367	1.2137	16.1248	107.912	722.182	118.314	791.793	121.477	812.96	149.197	998.474	24.3073	162.672	19.689	131.765	64.1064	429.02	1.85678	12.4261	23.7494	109.924	23.948	110.844	1.91855	8.88004	4.25754	28.4928	1.23176	11.0858	0.544394	8.52885	0.91936	7.43845	0.597745	6.04387	1219.61	8028.5	1.80766	13.6424	0	0.148528	195.617	1309.13	44.6904	299.082	190.94	1277.83	1.28254	10.377	0	8.56027	2.70621	2.48652e-009	
2.592e+006	7.79705	39.301	7.55205	67.9685	27.5851	119.592	5.00021	36.7393	15.3768	114.031	9.32129	43.6881	10.9172	55.5255	9.41113	80.169	19.8754	53.4109	9.86926	60.6255	5.81901	58.8367	1.2137	16.1248	111.959	718.135	121.918	788.188	123.646	810.791	152.37	995.302	26.1336	160.846	19.689	131.765	64.1064	429.02	1.85678	12.4261	23.7494	109.924	23.948	110.844	1.91855	8.88004	4.42851	28.3218	1.23176	11.0858	0.544394	8.52885	0.91936	7.43845	0.597745	6.04387	1247.74	8000.38	1.80766	13.6424	4.35989e-008	0.148528	197.57	1307.17	44.6904	299.082	190.94	1277.83	1.28254	10.377	0	8.56027	2.69609	0.0101275	
5.184e+006	7.79705	39.301	7.55205	67.9685	27.5851	119.592	5.87216	35.8673	18.0039	111.404	9.8194	43.19	11.621	54.8218	12.0671	77.5131	20.351	52.9353	9.86926	60.6255	5.81901	58.8367	1.2137	16.1248	116.024	714.07	125.466	784.641	126.246	808.191	156.741	990.93	27.1273	159.852	19.689	131.765	64.1064	429.02	1.85678	12.4261	23.7494	109.924	23.948	110.844	1.91855	8.88004	4.88173	27.8686	1.23176	11.0858	0.544394	8.52885	0.91936	7.43845	0.597745	6.04387	1275.87	7972.25	1.80766	13.6424	3.50235e-007	0.148528	201.853	1302.89	44.6904	299.082	190.94	1277.83	1.28254	10.377	0	8.56027	2.67817	0.028047	
7.776e+006	7.79705	39.301	7.55205	67.9685	27.5851	119.592	6.67999	35.0595	20.3218	109.086	10.2753	42.7341	12.3546	54.0882	13.4195	76.1606	21.4041	51.8822	9.86926	60.6255	5.81901	58.8367	1.2137	16.1248	119.989	710.105	128.698	781.408	128.891	805.546	161.984	985.688	28.2834	158.696	19.689	131.765	64.1064	429.02	1.85678	12.4261	23.7494	109.924	23.948	110.844	1.91855	8.88004	5.05655	27.6938	1.23176	11.0858	0.544394	8.52885	0.91936	7.43845	0.597745	6.04387	1304	7944.12	1.80766	13.6424	5.55842e-007	0.148527	206.93	1297.82	44.6904	299.082	190.94	1277.83	1.28254	10.377	0	8.56027	2.59269	0.113521	
1.0368e+007	7.79705	39.301	7.55205	67.9685	27.5851	119.592	7.39507	34.3444	22.2809	107.127	10.7249	42.2844	13.3423	53.1004	14.5925	74.9877	22.7241	50.5622	9.86926	60.6255	5.81901	58.8367	1.2137	16.1248	123.991	706.104	131.73	778.376	131.473	802.964	165.754	981.917	29.7106	157.269	19.689	131.765	64.1064	429.02	1.85678	12.4261	23.7494	109.924	23.948	110.844	1.91855	8.88004	5.1448	27.6055	1.23176	11.0858	0.544394	8.52885	0.91936	7.43845	0.597745	6.04387	1332.13	7915.99	1.80766	13.6424	1.01513e-006	0.148527	213.497	1291.25	44.6904	299.082	190.94	1277.83	1.28254	10.377	0	8.56027	2.64926	0.0569544	
1.296e+007	7.79705	39.301	7.55205	67.9685	27.5851	119.592	8.08191	33.6576	24.4648	104.943	11.1766	41.8327	14.339	52.1038	15.8559	73.7243	23.869	49.4173	9.86926	60.6255	5.81901	58.8367	1.2137	16.1248	127.618	702.476	134.657	775.45	133.963	800.474	168.962	978.71	30.942	156.037	19.689	131.765	64.1064	429.02	1.85678	12.4261	23.7494	109.924	23.948	110.844	1.91855	8.88004	5.24275	27.5076	1.23176	11.0858	0.544394	8.52885	0.91936	7.43845	0.597745	6.04387	1360.25	7887.86	1.80766	13.6424	1.16279e-006	0.148527	221.268	1283.48	44.6904	299.082	190.94	1277.83	1.28254	10.377	0	8.56027	2.69688	0.00933407	
1.5552e+007	7.79705	39.301	7.55205	67.9685	27.5851	119.592	8.75508	32.9844	26.4389	102.968	11.6933	41.316	15.3593	51.0835	17.1503	72.4298	25.0089	48.2774	9.86926	60.6255	5.81901	58.8367	1.2137	16.1248	130.918	699.176	137.865	772.242	136.312	798.124	171.966	975.705	31.6314	155.348	19.689	131.765	64.1064	429.02	1.85678	12.4261	23.7494	109.924	23.948	110.844	1.91855	8.88004	5.36495	27.3854	1.23176	11.0858	0.544394	8.52885	0.91936	7.43845	0.597745	6.04387	1388.38	7859.74	1.80766	13.6424	1.1859e-006	0.148527	230.101	1274.64	44.6904	299.082	190.94	1277.83	1.28275	10.3768	0	8.56027	2.70008	0.00613543	
1.8144e+007	7.79705	39.301	7.55205	67.9685	27.5851	119.592	9.46699	32.2725	28.5017	100.906	12.2462	40.7632	16.3198	50.1229	18.3761	71.2041	26.0029	47.2834	9.86926	60.6255	5.81901	58.8367	1.2137	16.1248	133.797	696.297	141.074	769.032	138.626	795.811	174.686	972.985	32.5782	154.401	19.689	131.765	64.1064	429.02	1.85678	12.4261	23.7494	109.924	23.948	110.844	1.91855	8.88004	5.52568	27.2246	1.23176	11.0858	0.544394	8.52885	0.91936	7.43845	0.597745	6.04387	1416.51	7831.61	1.84584	13.6043	1.37267e-006	0.148527	239.417	1265.33	44.7286	299.044	190.94	1277.83	1.28586	10.3736	0	8.56027	2.69484	0.0113707	
2.0736e+007	7.79705	39.301	7.55205	67.9685	27.5851	119.592	10.1797	31.5597	30.3603	99.0471	12.7644	40.2449	17.3308	49.112	19.5009	70.0793	26.561	46.7253	9.86926	60.6255	5.81901	58.8367	1.2137	16.1248	136.606	693.489	144.276	765.83	141.012	793.425	177.407	970.265	33.2473	153.732	19.689	131.765	64.1064	429.02	1.85678	12.4261	23.7494	109.924	23.948	110.844	1.91855	8.88004	5.7668	26.9835	1.32424	10.9934	0.544394	8.52885	0.91936	7.43845	0.597745	6.04387	1444.64	7803.48	1.95655	13.4935	1.50643e-006	0.148527	248.633	1256.11	45.6174	298.155	190.94	1277.83	1.29994	10.3596	0	8.56027	2.69103	0.0151835	
